epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4693.7,0.51983,0.32188,0.93527,0.98632,0.99506,0.99482,0.93728,0.38219,0.29331,0.67727,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,4857.83,0.51556,0.32016,0.9322,0.99421,0.98918,0.99481,0.93971,0.37397,0.26219,0.67603,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,5026.64,0.5155,0.3139,0.93445,0.98974,0.99244,0.99483,0.93915,0.38091,0.28483,0.67869,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,5229.99,0.50959,0.31407,0.93535,0.99155,0.98889,0.99482,0.94264,0.3695,0.28357,0.67303,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,5394.16,0.50287,0.30918,0.93125,0.98933,0.99254,0.99482,0.94279,0.36731,0.27398,0.67232,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,5560.9,0.49512,0.30353,0.9286,0.98968,0.99095,0.9948,0.94097,0.37024,0.24986,0.67529,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,5721.01,0.49311,0.29933,0.93064,0.99215,0.98971,0.99478,0.94122,0.36949,0.28302,0.67311,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,5883.26,0.48965,0.29579,0.92784,0.99045,0.99218,0.9948,0.94445,0.36177,0.27632,0.67034,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,6026.8,0.48331,0.28936,0.92978,0.99258,0.99073,0.99484,0.94578,0.36311,0.27701,0.67198,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,6173.84,0.48221,0.28854,0.92357,0.99124,0.99053,0.99484,0.94377,0.36452,0.285,0.67144,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,6317.23,0.47987,0.28713,0.92568,0.99095,0.99124,0.99482,0.9472,0.36121,0.26098,0.6712,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,6456.03,0.45356,0.25209,0.89827,0.98887,0.993,0.99461,0.94189,0.37012,0.25811,0.67325,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,6597.18,0.43863,0.24274,0.89654,0.99031,0.99218,0.9947,0.94149,0.36912,0.27481,0.67002,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,6791.32,0.43191,0.23583,0.89012,0.99137,0.99242,0.99479,0.94571,0.35663,0.26237,0.66438,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,6980.2,0.42474,0.2314,0.88534,0.98774,0.99459,0.99481,0.94704,0.35791,0.28302,0.66467,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,7129.6,0.42199,0.22777,0.88425,0.99086,0.99259,0.99479,0.94766,0.35644,0.27009,0.66667,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,7181.76,0.41727,0.22316,0.886,0.9899,0.99342,0.99482,0.95057,0.35448,0.27704,0.66721,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,7284.33,0.41647,0.22134,0.88639,0.99045,0.99506,0.99479,0.94979,0.35246,0.2682,0.66344,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,7425.01,0.41598,0.22105,0.88715,0.99098,0.99412,0.99476,0.95022,0.35149,0.2517,0.6634,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,7563.34,0.40812,0.21856,0.88298,0.99136,0.99199,0.99479,0.951,0.35153,0.23428,0.66309,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,7689.86,0.40517,0.21488,0.8796,0.98937,0.99383,0.99478,0.95076,0.34895,0.25531,0.66102,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
